hud,0.833753359715
fda,0.775292114274
nypd,0.652696776782
mccaffrey,0.627501447186
asch,0.585025687417
records,0.578501590688
korean,0.575088815843
ships,0.565717363851
tiger,0.563599618932
disability,0.538157686135
police,0.516704510446
patients,0.515573885604
pension,0.513108693117
seaport,0.499586219189
eggs,0.478153653093
soldiers,0.465429946544
reinsurance,0.454624735991
suarez,0.440500617496
state,0.434301873151
analysts,0.388909263203
agency,0.384172391598
residents,0.382301762405
ballots,0.381879990344
insurers,0.376488213282
susan,0.376196483483
homes,0.370068655846
johnson,0.362085037868
platoon,0.357911292913
tribe,0.352261399861
workers,0.351767360688
florida,0.351220292891
tribal,0.35121004218
refugees,0.345158859978
methadone,0.342952276148
ney,0.326176347265
navy,0.317606139123
military,0.311410997868
investigation,0.306282277197
officials,0.306213050946
dc,0.306048925784
drug,0.304824733682
johnsons,0.300608602478
iraq,0.300272330711
insurance,0.297786455817
asbestos,0.296408916614
colleges,0.289094882734
deaths,0.287222746808
college,0.286508774423
fatality,0.285873725616
