penn,0.723517595759
childcare,0.697619055057
pension,0.67052877163
buyback,0.517294319354
housing,0.51342495333
rivero,0.458612721874
county,0.427793554524
falk,0.421343900109
detectives,0.34271762058
sentinel,0.338618216636
buybacks,0.327619735591
rodriguez,0.270257856692
providers,0.245068818375
milwaukee,0.227889223997
shooter,0.227176539312
agency,0.223665456855
football,0.220729586391
mile,0.218048727022
police,0.214492272922
jerry,0.212549837923
miamidade,0.211307352914
wisconsin,0.189805958218
regulators,0.188128234093
state,0.185688476877
developers,0.18469586829
don™t,0.182949556543
herald,0.18127817843
gang,0.178119259844
œi,0.176722435951
paterno,0.175332652858
schultz,0.17193441081
0,0.171566042649
seasonal,0.171563907568
nonprofit,0.170478460274
miami,0.165528431386
affordable,0.162207825679
journal,0.15333958886
2008,0.148197005619
murder,0.147274300349
miguel,0.139953690961
fraud,0.139370590178
palmer,0.136996916917
racine,0.134177424492
chicago,0.128391666172
jury,0.128317613798
program,0.127160504918
homicide,0.125986825221
didn™t,0.123759994132
investigation,0.123462623409
