reinsurance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454624735991,0
officials
0.0299744812932,0.020785786994,0.0243413851854,0.00946585922623,0.00303011980627,0,0.0314044306188,0.0291643779301,0.0297816833315,0.00513580127432,0.0090879336839,0.0236375334423,0.0141467155905,0,0.0278030991321,0,0.00859160488787,0.0398622385498
disability
0.501550831179,0.00259000103096,0,0,0,0,0,0,0.0340168539244,0,0,0,0,0,0,0,0,0
police
0.210313055005,0.00167817579964,0,0,0.00917406999738,0.00363082449393,0,0.107640482864,0.00701305138974,0.00177706129114,0.0165089194642,0.00394844770421,0,0,0.00112236520397,0,0.00148640958435,0.152411647647
colleges
0,0,0,0,0,0,0,0,0,0,0,0,0.271444084696,0,0,0,0,0.0176507980373
eggs
0,0.474515694886,0,0.00363795820703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nypd
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652696776782
soldiers
0,0,0,0.00236304626157,0,0.139957702618,0,0,0,0.318326009692,0,0.00223825223085,0,0,0.00254493574165,0,0,0
tribe
0,0,0.224002322126,0,0,0,0,0,0,0,0,0.128259077735,0,0,0,0,0,0
susan
0,0.00174864147835,0.000877612513121,0,0,0,0,0,0.00208786444569,0,0.344042398229,0.0185140838312,0.00892588298597,0,0,0,0,0
fatality
0,0,0,0,0,0,0.00273614532211,0.283137580294,0,0,0,0,0,0,0,0,0,0
military
0,0,0,0.00173577922748,0,0.0514030717215,0,0,0,0.0547569217035,0,0.0049323347469,0,0,0.196285574296,0,0,0.00229731617234
records
0.0239775847697,0.0602321860021,0.0105146012481,0.00542090351452,0.0353131004426,0.00566589591187,0.00989157046756,0.0577406514446,0.0958890210464,0.0397477860122,0.0228996825397,0.025673110133,0.144072279451,0,0.0233526551392,0,0.0123708790316,0.00573968353367
residents
0.000856231055627,0,0.00876102930967,0.00154862834877,0.00817957818516,0,0,0.0124963527429,0.3394387633,0.00132035288725,0,0,0,0,0,0,0.00662639559861,0.0030744309768
drug
0.0200657052571,0.0159384867114,0,0,0.00580871971318,0,0.209703935256,0.0079868457749,0.00634347675704,0,0,0,0,0,0.00177661193112,0,0.00117643214203,0.0360245201389
pension
0.506876336855,0,0,0.00363795820703,0,0,0,0,0,0,0,0,0,0,0,0,0.00259439805448,0
ney
0,0,0,0,0,0,0,0,0,0,0,0.326176347265,0,0,0,0,0,0
methadone
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342952276148
insurance
0.00355709809347,0.0220150087632,0.00194981419168,0,0.00141587375747,0,0,0,0,0,0,0,0.0110171459874,0,0,0,0.254638436329,0.00319307869477
hud
0,0,0.833753359715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ships
0,0,0,0.552789069665,0,0,0,0,0,0,0,0.0129282941855,0,0,0,0,0,0
patients
0.00345806554998,0.182966910735,0,0.0041696364608,0,0,0.154703572858,0.013458425468,0.102215735152,0.00355501146816,0,0,0,0,0,0,0,0.0510465279127
platoon
0,0,0,0,0,0,0,0,0,0.357911292913,0,0,0,0,0,0,0,0
investigation
0.0249236957299,0.0175620858876,0.0123397443851,0.00145414252869,0.0179212155941,0.00506620356213,0.00619123563547,0.0305081866657,0.0265607272177,0.0570305581946,0.0230354143353,0.0371884041868,0.0199211312277,0,0,0,0.008296136091,0.0182833959549
tribal
0,0,0.198353201272,0,0,0,0,0,0,0,0,0.148299558631,0,0,0.00455728227672,0,0,0
korean
0,0,0,0,0,0.57139015419,0,0,0,0,0,0.00369866165302,0,0,0,0,0,0
iraq
0,0,0,0,0,0,0,0,0,0.0051911927319,0,0,0,0,0.295081137979,0,0,0
asch
0,0.585025687417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ballots
0,0,0.00212000665277,0,0.364852120861,0,0,0,0,0,0,0.0149078628306,0,0,0,0,0,0
refugees
0,0,0,0,0,0.345158859978,0,0,0,0,0,0,0,0,0,0,0,0
navy
0,0,0,0.314781051433,0,0,0,0,0,0,0,0,0,0,0.00282508769017,0,0,0
johnson
0.0172903277499,0,0,0,0.00183527288637,0,0.0126806207261,0.010093819101,0.00601269030306,0,0,0,0.314172307101,0,0,0,0,0
seaport
0,0,0,0,0,0,0,0,0.499586219189,0,0,0,0,0,0,0,0,0
suarez
0,0,0,0,0.440500617496,0,0,0,0,0,0,0,0,0,0,0,0,0
johnsons
0.0203048199095,0,0,0,0,0,0,0,0,0,0,0,0.280303782568,0,0,0,0,0
mccaffrey
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627501447186,0,0,0
asbestos
0,0,0,0.296408916614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
college
0.00121467355995,0.00442215211653,0,0,0.000966981720623,0.00191351325934,0,0.00354553579268,0.00211200621553,0,0.0116006842137,0.00624272011642,0.236261242945,0,0,0,0.000783365996684,0.0174458984867
tiger
0,0,0,0,0,0,0,0,0,0.563599618932,0,0,0,0,0,0,0,0
insurers
0,0,0,0,0,0,0.00226363607428,0,0,0,0,0,0,0,0,0,0.374224577208,0
workers
0.0072205048846,0.00286767695624,0,0.0914159202505,0.0177669338038,0.00206812495163,0,0.157112604871,0.0684796836034,0,0,0,0,0,0,0,0.00169332379182,0.00314258757532
fda
0,0,0,0,0,0,0.763384544868,0,0,0,0,0,0,0,0,0,0,0.0119075694066
florida
0.00303094010219,0.00147126258224,0,0,0.0160858783888,0,0,0.0058980491945,0.00175667618192,0,0,0.0519242683013,0,0,0,0,0.27105321814,0
state
0.0528338726537,0.00773688265533,0.00582450872429,0.00800768355521,0.0126885460492,0,0.000324704240645,0.00947707669029,0.105721239977,0.00273092459161,0.0535595650741,0.0101130566776,0.0870301285355,0,0.000574936976305,0,0.0582486653318,0.0194300814176
dc
0.00134507244238,0,0.0147459601511,0,0.00214158026911,0,0,0.270905025463,0,0,0,0.00691289501228,0.00999839244594,0,0,0,0,0
homes
0,0.00228339811042,0.0292229361269,0,0.00748958032933,0,0,0.0366150666739,0.261730535251,0.00362691893944,0,0,0.0019425884414,0,0,0,0.0252809094625,0.00187672251115
deaths
0,0,0,0.0177869027044,0,0.00688546824466,0.0841449733326,0.0829272444002,0.051298063233,0.00674001131666,0,0,0,0,0.00212844492589,0,0,0.0353116386505
analysts
0,0,0,0,0,0,0.0134415028273,0,0,0,0,0,0,0,0.353602565314,0,0.0135085154994,0.00835667956209
agency
0.00759945475927,0,0.0151477149982,0.0337372548883,0.0109996389621,0,0.0600406501733,0.211739236924,0.0132135054351,0,0,0.00236707912733,0.00171179990609,0,0,0,0.0160397423435,0.0115763140813
